Content,Label
"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.5
The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,0.5
Effective but too-tepid biopic,0.44444
"If you sometimes like to go to the movies to have fun , Wasabi is a good place to start .",0.5
"Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",0.42708
The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,0.375
Offers that rare combination of entertainment and education .,0.41667
Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,0.54167
Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .,0.33333
But he somehow pulls it off .,0.45833
Take Care of My Cat offers a refreshingly different slice of Asian cinema .,0.47222
"This is a film well worth seeing , talking and singing heads and all .",0.59722
What really surprises about Wisegirls is its low-key quality and genuine tenderness .,0.33333
"-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .",0.93056
"One of the greatest family-oriented , fantasy-adventure movies ever .",0.80556
"Ultimately , it ponders the reasons we need stories so much .",0.81944
An utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question .,0.76389
Illuminating if overly talky documentary .,0.5
A masterpiece four years in the making .,0.5
"The movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",0.69444
Offers a breath of the fresh air of true sophistication .,0.5
"A thoughtful , provocative , insistently humanizing film .",0.75
"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",0.29167
A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass .,0.31944
"Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .",0.73611
Scores a few points for doing what it does with a dedicated and good-hearted professionalism .,0.77778
"Occasionally melodramatic , it 's also extremely effective .",0.59722
An idealistic love story that brings out the latent 15-year-old romantic in everyone .,0.58333
"At about 95 minutes , Treasure Planet maintains a brisk pace as it races through the familiar story .",0.68056
"However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .",0.48611
